//X,Y,Z,Scalar field,Scalar field #2,Scalar field #3,Scalar field #4,Scalar field #5,Scalar field #6,Scalar field #7,Scalar field #8,Scalar field #9,Scalar field #10,Scalar field #11,Scalar field #12,Scalar field #13,Scalar field #14,Scalar field #15,Scalar field #16,Scalar field #17,Scalar field #18,Scalar field #19,Scalar field #20,Scalar field #21,Scalar field #22,Scalar field #23,Scalar field #24,Scalar field #25,Scalar field #26,Scalar field #27,Scalar field #28,Scalar field #29,Scalar field #30,Scalar field #31,Scalar field #32,Scalar field #33,Scalar field #34,Scalar field #35,Scalar field #36,Scalar field #37,Scalar field #38,Scalar field #39,Scalar field #40,Scalar field #41,Scalar field #42,Scalar field #43,Scalar field #44,Scalar field #45,Scalar field #46,Scalar field #47,Scalar field #48,Scalar field #49,Scalar field #50,Scalar field #51
31.03689957,76.86554718,727.42810059,58.000000,0.013183,4399.443848,-0.084500,0.405550,-0.812450,0.111350,0.006150,0.406985,0.213011,0.356219,0.039110,0.008653,0.000513,113061.648438,-0.555250,0.306650,-0.643400,0.117700,0.004800,0.353070,0.355412,0.083521,0.016436,0.009439,1.000000,0.017241,1.008734,0.034730,0.007650,0.005947,0.005798,1.000000,14.335588,26.108116,0.012993,0.037120,15.000000,27.000000,0.004600,0.015900,1.000000,4.349329,9.569918,0.004009,0.027955,15.500000,24.500000,0.004050,0.010850,0.000000
30.89520073,76.73030090,727.36102295,47.000000,0.007838,5996.174316,-0.564300,0.351300,0.574400,0.072900,0.004700,0.293264,0.201442,0.443413,0.028056,nan,0.000519,90600.875000,-0.650700,0.354600,0.574400,0.072400,0.004700,0.268490,0.174638,0.392729,0.028495,nan,0.000000,0.000000,1.010811,-0.607263,0.008301,0.003300,0.000977,0.914894,2.733626,12.755692,0.002698,0.026740,17.000000,13.000000,0.006500,0.005500,0.866667,3.356586,11.736390,0.002713,0.027995,17.000000,12.000000,0.006600,0.005500,0.000000
30.09555054,75.91290283,727.27471924,524.000000,0.115498,4536.891113,-0.518450,0.416450,0.346650,0.139550,nan,0.314543,0.231590,0.668307,0.145302,nan,0.011445,45784.507813,-0.530000,0.363900,0.416200,0.107000,0.007100,0.298717,0.240545,0.645232,0.036797,0.009396,3.000000,0.005725,1.000956,-0.116719,-0.034599,-0.028549,0.030701,0.979008,4.390003,18.100578,0.005192,0.043555,17.000000,18.000000,0.002700,0.012600,1.000000,3.707655,20.906507,0.003301,0.043317,17.000000,23.000000,0.003700,0.016500,0.000000
30.34149933,76.05709839,727.40521240,137.000000,0.029867,4587.064453,-0.461500,0.504100,0.494000,0.100500,0.004900,0.447376,0.280418,0.500366,0.045625,0.008643,0.002755,49731.285156,-0.461500,0.644100,0.458100,0.102400,0.004900,0.392052,0.272058,0.421157,0.046787,0.008312,2.000000,0.014599,1.003670,-0.138076,-0.005751,-0.017502,0.016632,1.000000,5.027394,18.684658,0.008333,0.045991,16.000000,19.000000,0.003500,0.007900,1.000000,6.055797,18.155687,0.011925,0.043003,16.000000,19.000000,0.003800,0.011800,0.000000
30.71330070,76.42299652,727.74902344,61.000000,0.013860,4401.054199,-0.318100,0.432500,-0.673900,0.098900,0.006200,0.380157,0.221468,0.499351,0.086554,0.003526,0.000854,71459.195313,-0.507000,0.422650,-0.330700,0.064300,0.007850,0.319043,0.229979,0.461370,0.008564,0.003119,2.000000,0.032787,1.008299,-0.117831,-0.014399,0.009548,-0.021179,1.000000,3.841106,9.295484,0.002288,0.012263,16.000000,19.000000,0.003600,0.012700,1.000000,4.472136,9.006942,0.001948,0.008786,17.500000,18.500000,0.003450,0.019400,0.000000
30.41160011,76.13529968,727.70343018,61.000000,0.013276,4594.908691,-0.202800,0.667000,-0.318100,0.095500,0.013200,0.419345,0.250119,0.520294,0.037107,nan,0.000305,199783.437500,-0.147100,0.988600,0.017900,0.077400,0.011200,0.444610,0.318615,0.135225,0.026049,0.015861,1.000000,0.016393,1.008299,-0.183972,0.011250,-0.009651,-0.024628,0.934426,4.040235,34.179668,0.004373,0.057420,17.000000,23.000000,0.004900,0.026800,1.000000,2.516612,29.871948,0.002060,0.046572,17.000000,32.000000,0.007300,0.047900,0.000000
30.24060059,76.00520325,727.86682129,68.000000,0.016403,4145.585938,-0.446000,0.354900,0.746800,0.263650,0.007700,0.559743,0.167411,0.368896,0.158379,0.006988,0.000878,77422.531250,-0.520700,0.351100,0.758900,0.259800,0.002900,0.057200,0.092004,0.036210,0.007379,0.002700,1.000000,0.014706,1.007435,-0.066097,-0.009451,-0.000748,0.001984,1.000000,16.193111,10.862821,0.017469,0.023299,15.000000,22.000000,0.001600,0.017300,1.000000,2.260777,4.472136,0.000406,0.007767,15.000000,17.000000,0.001500,0.005800,0.000000
30.41550064,76.22879791,727.97308350,69.000000,0.006720,10268.253906,-0.740300,0.439200,0.026500,0.090700,0.006300,0.362512,0.153865,0.499524,0.085768,0.003188,0.000521,132532.265625,-0.731900,0.430300,-0.253600,0.080100,0.006500,0.377156,0.184018,0.411455,0.098856,0.002617,3.000000,0.043478,1.007326,-0.186504,-0.002849,0.002499,0.014313,1.000000,2.862805,9.488113,0.001575,0.011556,16.000000,20.000000,0.002700,0.014700,1.000000,2.539742,8.421290,0.001229,0.009160,14.000000,19.000000,0.003200,0.014700,0.000000
31.43070030,77.94740295,727.51898193,57.000000,0.008501,6705.328125,-0.614600,0.055500,0.785400,0.147100,0.004100,0.051734,0.140355,0.102095,0.091772,nan,0.000609,93537.804688,-0.651300,0.055500,0.755300,0.145300,0.004100,0.024502,0.020548,0.019786,0.009799,0.000820,2.000000,0.035088,1.008889,-0.297266,-0.001400,0.005405,-0.005920,0.982456,3.393751,8.100791,0.001594,0.006303,14.000000,16.000000,0.000900,0.007700,1.000000,2.954787,5.418392,0.000133,0.002714,16.000000,20.000000,0.000900,0.010700,0.000000
26.80240059,72.56060028,728.47418213,385.000000,0.024640,15624.940430,-0.461000,0.303100,0.734600,0.078100,0.003200,0.403324,0.207662,0.395973,0.168035,nan,0.001731,222411.125000,-0.609000,0.288600,0.605000,0.082100,0.003100,0.259671,0.188959,0.225672,0.023782,0.001666,6.000000,0.015584,1.001301,-0.156595,-0.027849,0.003899,0.006836,0.984416,3.402879,15.239230,0.002567,0.024814,16.000000,16.000000,0.001600,0.005400,1.000000,2.680656,5.558396,0.002006,0.004397,17.000000,16.000000,0.002800,0.005300,0.000000
