//X,Y,Z,len(points),areaXZ,densitatXZ,median nx,median ny,median nz,median diff,median m3c2,stdev nx,stdev ny,stdev nz,stdev diff,stdev m3c2,c areaXZ,c densitatXZ,c median nx,c median ny,c median nz,c median diff,c median m3c2,c stdev nx,c stdev ny,c stdev nz,c stdev diff,c stdev m3c2,outliers,outliers dens,stdev z scores,median z scores,dispX,dispY,dispZ,significant change,stdev Npoints cloud1,stdev Npoints cloud2,stdev IQR cloud1,stdev IQR cloud2,median Npoints cloud1,median Npoints cloud2,median IQR cloud1,median IQR cloud2,c significant change,c stdev Npoints cloud1,c stdev Npoints cloud2,c stdev IQR cloud1,c stdev IQR cloud2,c median Npoints cloud1,c median Npoints cloud2,c median IQR cloud1,c median IQR cloud2,label
14.01875019,71.70825195,724.4360352,172,0.048684,3533.008545,-0.51675,0.45485,0.4656,0.07025,0.00435,0.434562,0.241112,0.552439,0.046354,0.013022,0.005105,33692.88672,-0.5389,0.4992,0.3717,0.0713,0.0055,0.267789,0.242201,0.601627,0.045375,0.013331,7,0.040698,1.00292,-0.488838,0.007051,-0.00325,0.003296,1,7.437036,20.044218,0.009573,0.057386,15,18,0.0029,0.0073,1,3.93811,24.524639,0.01049,0.063807,15,19,0.0034,0.0095,0
10.96364975,71.87234497,723.0855713,360,0.060457,5954.660156,-0.1274,0.9118,0.21785,0.0667,0.00255,0.166928,0.078767,0.358918,0.008213,0.002156,0.005427,66340.17188,-0.2503,0.89935,0.3708,0.06845,0.0022,0.195133,0.051945,0.170652,0.004028,0.000978,4,0.011111,1.001392,-0.322349,-0.02575,-0.003849,0.044647,1,2.640762,3.59638,0.000733,0.005316,11,12,0.0012,0.0042,1,1.630951,0.894427,0.000622,0.001852,11,12,0.00105,0.0036,1
11.1908493,71.93119812,722.864624,170,0.031262,5437.97998,0.01805,0.9734,0.1316,0.0673,0.0023,0.175269,0.027693,0.125476,0.003785,0.000944,0.002809,60525.71094,0.0084,0.9695,0.22245,0.07145,0.00175,0.108759,0.01278,0.10011,0.00218,0.000844,0,0,1.002954,0.059698,-0.00675,0.001202,0.037323,1,1.900638,2.557443,0.000362,0.001946,12,13,0.0012,0.004,1,1.2,1.572847,0.000236,0.001609,12,12,0.0012,0.0031,0
12.19880009,71.12940216,725.09552,101,0.015983,6319.077148,-0.4701,0.7516,0.5227,0.0749,0.0046,0.241226,0.153223,0.153909,0.011863,0.004009,0.001354,74613.75781,-0.54535,0.6017,0.60635,0.07365,0.0028,0.131176,0.121111,0.041738,0.006305,0.003533,0,0,1.004988,-0.217914,-0.0316,-0.009445,0.007751,1,2.507889,5.760174,0.000642,0.010129,12,21,0.0014,0.01,1,2.287087,6.453553,0.000373,0.008337,13.5,19,0.00135,0.0062,0
10.93830013,70.14389801,727.3565064,113,0.032584,3467.973633,-0.2545,0.8246,0.0467,0.0724,0.0055,0.298609,0.251064,0.475084,0.014974,0.014163,0.002827,39973.06641,-0.145,0.8887,0.2584,0.098,0.0042,0.247447,0.24608,0.505647,0.015734,0.055462,2,0.017699,1.004454,-0.291891,-0.0219,0.009495,-0.009766,0.99115,7.637395,13.446998,0.012785,0.037709,15,19,0.0032,0.0098,0.857143,3.207135,5.354126,0.002324,0.145761,12,14,0.0033,0.0073,0
10.99085045,70.30619812,726.5269775,58,0.018841,3078.377686,0.1199,0.7787,-0.1303,0.07405,0.0043,0.371405,0.156183,0.51954,0.013535,0.002053,0.001714,33830.17578,-0.15295,0.801,-0.56295,0.0712,0.0035,0.223666,0.050637,0.230912,0.005271,0.001091,1,0.017241,1.008734,-0.263427,-0.0047,0.00565,0.015167,1,5.265027,6.594214,0.004994,0.00539,18,18.5,0.0058,0.00765,1,2.472358,5.279217,0.002535,0.002992,18.5,18.5,0.0025,0.00685,0
10.37380028,70.31289673,726.6373901,45,0.009081,4955.444824,-0.013,0.7532,-0.5306,0.0855,0.0062,0.302355,0.279785,0.576167,0.05299,0.008729,0.000751,59953.42188,-0.2512,0.8632,0.0235,0.0854,0.0078,0.337704,0.092344,0.422886,0.059305,0.004971,1,0.022222,1.0113,-0.291146,0.000851,-0.008453,0.003235,1,3.835243,21.43647,0.002425,0.037857,15,19,0.0026,0.0131,1,5.669467,17.56349,0.002896,0.016036,16,20,0.0047,0.0217,0
7.95165014,70.11630249,724.3554688,134,0.011414,11739.66211,-0.66465,0.51675,0.41695,0.0727,nan,0.254265,0.190957,0.349286,0.027162,nan,0.000762,175854.75,-0.67825,0.65145,0.39705,0.06865,0.00695,0.085658,0.169359,0.239611,0.01015,0.00832,2,0.014925,1.003752,-0.148201,-0.0212,0.028149,0.007538,0.947761,2.949239,8.329542,0.001877,0.025537,16,14,0.0022,0.00675,1,2.217356,9.091205,0.001519,0.028498,13,12.5,0.0011,0.01335,0
7.40670013,69.77490234,723.9451294,193,0.017968,10741.37598,-0.647,0.4643,0.2323,0.1037,0.0542,0.322153,0.310919,0.394844,0.028221,nan,0.00185,104340.7344,-0.6384,0.4314,0.3905,0.1114,0.0191,0.235907,0.306365,0.422157,0.019773,nan,2,0.010363,1.002601,0.001344,-0.01335,-0.035797,0.016235,0.953368,2.924819,10.333481,0.001359,0.026436,16,16,0.002,0.0124,0.952381,2.394438,8.754863,0.001061,0.028898,14,18,0.0025,0.0393,0
7.5788002,70.55760193,723.8237305,777,0.180916,4294.817383,-0.1016,0.6162,0.6921,0.2115,0.0017,0.339637,0.210408,0.271725,0.365161,nan,0.019654,39534.68359,-0.0829,0.6401,0.65235,0.2189,0.0027,0.330296,0.205378,0.241948,0.424832,nan,16,0.020592,1.000644,-0.20302,0.04475,0.030151,0.024658,0.962677,4.123806,9.470453,0.041809,0.031376,15,11,0.0018,0.0052,0.971698,3.438903,5.686589,0.02851,0.034571,15,11,0.0022,0.0051,0
7.39690018,69.97859955,723.9199829,89,0.019912,4469.743164,-0.8848,0.1702,0.3468,0.1574,nan,0.225097,0.279557,0.289098,0.055981,nan,0.001567,56780.40625,-0.9253,0.1485,0.3094,0.1061,0.0062,0.236193,0.306599,0.257044,0.063361,nan,0,0,1.005666,0.083424,-0.0011,-0.017948,-0.00061,0.842697,2.949654,5.092831,0.002428,0.004547,17,9,0.0014,0.0053,0.684211,2.404917,6.122053,0.001031,0.004783,15,13,0.0012,0.0084,0
8.62400055,70.88305664,723.4320068,118,0.020218,5836.245605,0.06545,0.9608,-0.0364,0.0651,0.003,0.185125,0.052241,0.246576,0.216868,0.001523,0.002121,55622.44922,0.2335,0.9605,-0.00995,0.06625,0.0024,0.174682,0.074534,0.193689,0.438711,0.001317,2,0.016949,1.004264,-0.133664,0.00535,-0.008595,0.01062,1,3.121983,2.477188,0.000878,0.003501,14,15,0.0015,0.0056,1,2.816007,2.939199,0.001329,0.002941,14,14,0.001,0.00425,1
7.92074966,70.31860352,724.1305542,128,0.032784,3904.341797,-0.45035,0.6872,0.4996,0.10895,0.0016,0.398299,0.120505,0.217035,0.095818,nan,0.002909,44002.9375,-0.4537,0.6999,0.5283,0.1071,0.0052,0.296254,0.157772,0.097758,0.025132,nan,5,0.039063,1.003929,-0.279346,0.00405,-0.022202,-0.018463,0.9375,3.01333,14.842776,0.00213,0.033836,14,14,0.0017,0.0081,0.891892,1.773173,9.636331,0.001185,0.027499,14,13,0.0028,0.0088,0
7.70410013,70.40080261,724.1364136,87,0.025933,3354.848389,-0.1643,0.7536,0.5492,0.3224,nan,0.294125,0.237663,0.257923,0.097893,nan,0.002593,33545.60547,-0.1321,0.7949,0.5399,0.3233,0.0099,0.262852,0.252463,0.237301,0.087901,0.013018,3,0.034483,1.005797,-0.148153,-0.01805,-0.006748,-0.006439,0.91954,2.979391,11.510859,0.002386,0.042427,12,18,0.0023,0.011,1,2.365023,8.822698,0.001415,0.037918,12,28,0.0008,0.0313,0
8.81649971,70.790802,724.5938721,50,0.007586,6591.458008,-0.31675,0.83495,0.31475,0.0879,0.007,0.174711,0.061487,0.222021,0.018248,0.002851,0.000182,274122.125,-0.2844,0.8684,0.3845,0.1148,0.0054,0.193073,0.035177,0.164263,0.018024,0.002019,0,0,1.010153,-0.149462,0.0049,0.01405,0.0159,1,2.227472,18.951538,0.002186,0.015462,11,28,0.00125,0.0182,1,1.303841,7.765307,0.000089,0.007383,10,24,0.0011,0.0126,0
8.44935036,70.38189697,724.6931152,82,0.009862,8314.821289,-0.50245,0.7026,0.39495,0.06875,0.0033,0.288741,0.236086,0.377601,0.017044,0.002532,0.00085,96505.94531,-0.2951,0.8197,0.3914,0.0693,0.0022,0.226489,0.182313,0.360001,0.008492,0.003267,3,0.036585,1.006154,-0.325683,0.00135,0.007252,0.014252,1,2.664068,5.913929,0.002171,0.007145,13,13,0.00185,0.00575,1,1.853058,6.260286,0.001511,0.009317,12,13,0.0014,0.0034,1
6.9762001,69.64279938,727.0714111,61,0.012268,4972.328125,-0.3187,0.822,-0.2758,0.0969,0.0057,0.322886,0.21805,0.298062,0.019101,0.006665,0.000728,83808.42969,-0.5534,0.822,-0.2452,0.0999,0.0063,0.25015,0.089751,0.184856,0.008669,0.004675,0,0,1.008299,0.140275,0.0015,0.0126,0.011292,1,2.373234,9.762956,0.001654,0.021751,16,21,0.0027,0.0129,1,1.9518,6.582806,0.001986,0.015052,18,21,0.0059,0.0131,0
